UNEMP,area
3.73, 02001
3.01, 02002
3.42, 02003
4.53, 02004
3.19, 02005
2.86, 02006
3.71, 02007
4.57, 02008
3.81, 02009
3.44, 02010
3.15, 02011
3.37, 02012
2.83, 02013
3.11, 02014
3.42, 02015
4.74, 06028
4.47, 06035
5.04, 06091
4.95, 06260
5.26, 06270
5.51, 06274
3.92, 06371
4.63, 06408
4.5, 06410
4.55, 06412
5.01, 06427
4.36, 06434
4.13, 06490
4.79, 06515
4.72, 06539
5.15, 06560
4.16, 06568
4.58, 06658
3.91, 06749
4.22, 06756
4.15, 06760
4.31, 06805
3.77, 06840
3.01, 06861
3.79, 06007
2.6, 06014
1.81, 06021
2.47, 06042
3.11, 06049
4.04, 06056
3.49, 06063
3.57, 06070
3.01, 06077
3.43, 06084
4.22, 06098
2, 06105
2.68, 06112
3.1, 06119
3.85, 06126
3.47, 06134
2.46, 06140
2.15, 06147
1.47, 06154
2.4, 06161
2.83, 06168
3.82, 06175
4.12, 06182
2.96, 06189
3.44, 06196
2.06, 06203
2.13, 06210
3.53, 06217
3.79, 06224
2.2, 06231
2.74, 06238
4.35, 06245
4.76, 06252
2.94, 06266
2.06, 06277
3.57, 06280
2.35, 06287
2, 06294
2.71, 06301
1.68, 06308
3.1, 06315
2.85, 06322
2.93, 06329
3.14, 06336
2.48, 06343
2.54, 06351
4.28, 06357
3.86, 06364
2.46, 06385
2.21, 06392
2.41, 06399
2.02, 06406
3.05, 06413
3.85, 06420
3.7, 06441
2.29, 06448
2.01, 06455
2.48, 06462
2.28, 06469
2.26, 06476
2.78, 06483
3.78, 06497
2.96, 06505
2.35, 06511
3.66, 06518
3.92, 06525
4.19, 06532
2.54, 06547
2.54, 06553
2.03, 06574
4.12, 06581
2.72, 06588
3.27, 06595
3.62, 06602
2.78, 06609
1.99, 06616
3.92, 06623
2.07, 06630
4.08, 06638
4.33, 06644
4.66, 06648
1.99, 06651
3.15, 06655
3.43, 06665
1.95, 06672
2.37, 06679
3.27, 06686
1.6, 06693
2.65, 06700
2.07, 06707
2.6, 06714
2.16, 06721
2.14, 06728
2.38, 06735
2.45, 06742
4.18, 06763
4.56, 06770
4.59, 06778
2.61, 06784
3.97, 06791
2.01, 06798
2.28, 06812
2.68, 06819
2.46, 06826
2.9, 06833
2.27, 06847
2.42, 06854
3.98, 06868
5.55, 06875
3.3, 06882
2.59, 10007
3.03, 10014
5.2, 10021
2.03, 10028
3.71, 10035
3.16, 10042
4.75, 10049
2.99, 10056
4.39, 10063
2.49, 10070
3.14, 10077
2.33, 10084
4.07, 10091
2.86, 10098
3.97, 10105
4.03, 10112
2.9, 14007
4.63, 14014
4, 14021
3.58, 14028
1.93, 14035
2.52, 14042
3.31, 14049
2.25, 14056
1.96, 14063
2.66, 14070
4.27, 14077
2.54, 14084
4.02, 14091
3.35, 14098
2.89, 14105
2.59, 14112
2.77, 14119
3.8, 14126
3.73, 14133
2.35, 14140
4.44, 14147
3.96, 14154
2.92, 14161
3.3, 14168
2.78, 14175
2.22, 14182
2.49, 18007
.87, 18014
4.05, 18021
1.78, 18028
2.53, 18035
2.52, 18042
1.94, 18049
1.76, 18056
2.05, 18063
2.77, 18070
1.78, 18077
3.13, 18084
1.12, 18091
2.28, 18098
2.51, 18105
2.46, 18112
2.7, 18119
2.3, 18126
2.76, 18133
2.17, 18140
2.03, 18147
1.57, 18154
2.06, 18161
2.21, 18168
2.08, 18175
1.28, 22007
1.99, 22014
2.9, 22021
2.2, 22028
2.24, 22036
3.47, 22039
5.64, 22043
2.13, 22049
2.06, 22056
2.45, 22063
1.95, 22070
3.72, 22077
2.43, 22084
1.96, 22091
2.54, 22098
3.02, 22105
1.96, 22112
1.86, 22119
2.04, 22126
2.23, 22133
3.93, 22140
1.64, 22147
1.5, 22154
.96, 22161
1.44, 22168
5.09, 26007
3.31, 26014
3.64, 26021
3.02, 26028
3.85, 26035
2.65, 26042
2.27, 26049
2.13, 26056
1.75, 26063
1.93, 26070
4.59, 26077
2.44, 26084
3.05, 26091
3.12, 26098
2.05, 26105
2.31, 30008
2.76, 30015
2.31, 30021
1.75, 30028
2.81, 30035
2.17, 30042
2.98, 30049
3.78, 30056
3.14, 30063
2.55, 30070
2.18, 30077
3.32, 30084
2.22, 30088
1.46, 30091
2.88, 30098
3.12, 30105
2.01, 30113
1.96, 34007
3.02, 34014
1.82, 34021
4.87, 34028
1.67, 34035
1.55, 34042
2.41, 34049
1.49, 34056
1.47, 34063
4.03, 38007
2.84, 38014
3.63, 38021
2.36, 38028
3.69, 38035
3.83, 38042
2.15, 38049
2.57, 38056
3.48, 38063
2.32, 38070
.9, 38077
2.18, 38084
3.1, 38094
2.2, 38098
2.93, 38105
3.53, 38112
1.97, 42007
2.3, 42014
3.88, 42021
2.6, 42028
2.41, 42035
2.54, 42042
1.88, 42049
2.4, 42056
2.37, 42063
1.75, 42070
2.79, 42077
2.92, 42084
1.03, 42091
4.3, 42098
4.11, 42105
3.45, 42112
1.78, 42119
2.54, 42126
2.04, 42133
4.3, 42140
1.61, 42147
3.91, 42154
4.85, 46007
4.42, 46014
2.89, 46021
4.54, 46028
2.95, 46035
3.62, 46042
2.85, 46049
2.06, 46056
2.24, 46063
5.47, 46070
3.39, 46077
2.84, 46084
3.01, 46091
2.09, 46098
2.97, 46105
3.57, 46112
3.01, 46119
2.89, 46126
3.9, 50007
3.7, 50014
4.6, 50021
4.86, 50028
3.4, 50035
4.15, 50042
5.04, 50049
3.59, 50056
3.72, 50063
4.02, 50070
3.38, 50077
3.49, 50084
2.94, 50091
3.53, 50098
