origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Corrientes,Corrientes,,0.0000000,,
Corrientes,Bella Vista,3607.4880025,184321.0710254,8490.0211710,196418.5801989
Corrientes,Beron de Astrada,3607.4880025,177627.4737669,6694.4310392,187929.3928085
Corrientes,Concepcion,3607.4880025,136623.2136269,9553.1054012,149783.8070305
Corrientes,Curuzu Cuatia,3607.4880025,397235.9848199,13134.4821343,413977.9549567
Corrientes,Empedrado,3607.4880025,75757.8064807,5189.5280649,84554.8225480
Corrientes,Esquina,3607.4880025,485999.7371250,4122.7988759,493730.0240034
Corrientes,Alvear,3607.4880025,485999.7371250,4122.7988759,493730.0240034
Corrientes,Caa Cati,3607.4880025,140547.3427731,6265.1766681,150420.0074436
Corrientes,Goya,3607.4880025,256420.8661194,1494.5167008,261522.8708226
Corrientes,Itati,3607.4880025,82785.8176768,4826.3952866,91219.7009659
Corrientes,Ituzaingo,3607.4880025,82785.8176768,4826.3952866,91219.7009659
Corrientes,Lavalle,3607.4880025,239251.0356640,9643.6855100,252502.2091764
Corrientes,Mburucuya,3607.4880025,92157.5767838,3276.0963088,99041.1610950
Corrientes,Mercedes,3607.4880025,354499.8489638,4359.9544151,362467.2913814
Corrientes,Monte Caseros,3607.4880025,446422.9565064,9357.5312068,459387.9757157
Corrientes,Paso de los Libres,3607.4880025,446422.9565064,9357.5312068,459387.9757157
Corrientes,Saladas,3607.4880025,116791.4794029,9751.5790731,130150.5464785
Corrientes,San Cosme,3607.4880025,52627.3544006,5927.5364229,62162.3788259
Corrientes,San Luis del Palmar,3607.4880025,47361.1648327,10274.9393743,61243.5922095
Corrientes,La Cruz,3607.4880025,47361.1648327,10274.9393743,61243.5922095
Corrientes,San Miguel,3607.4880025,153845.4444236,11536.2405531,168989.1729791
Corrientes,San Roque,3607.4880025,196900.9371404,1050.3210138,201558.7461566
Corrientes,Santo Tome,3607.4880025,196900.9371404,1050.3210138,201558.7461566
Corrientes,Sauce,3607.4880025,391910.1618937,3541.5156726,399059.1655688
Bella Vista,Corrientes,8490.0211710,184321.0710254,3607.4880025,196418.5801989
Bella Vista,Bella Vista,8490.0211710,0.0000000,3607.4880025,196418.5801989
Bella Vista,Beron de Astrada,8490.0211710,218765.1679361,6694.4310392,233949.6201463
Bella Vista,Concepcion,8490.0211710,151971.4917278,9553.1054012,170014.6183000
Bella Vista,Curuzu Cuatia,8490.0211710,246440.8709516,13134.4821343,268065.3742569
Bella Vista,Empedrado,8490.0211710,150628.5232025,5189.5280649,164308.0724383
Bella Vista,Esquina,8490.0211710,335204.6232567,4122.7988759,347817.4433036
Bella Vista,Alvear,8490.0211710,335204.6232567,4122.7988759,347817.4433036
Bella Vista,Caa Cati,8490.0211710,181685.0369423,6265.1766681,196440.2347814
Bella Vista,Goya,8490.0211710,72099.7950940,1494.5167008,82084.3329658
Bella Vista,Itati,8490.0211710,228658.1594741,4826.3952866,241974.5759317
Bella Vista,Ituzaingo,8490.0211710,228658.1594741,4826.3952866,241974.5759317
Bella Vista,Lavalle,8490.0211710,54929.9646386,9643.6855100,73063.6713196
Bella Vista,Mburucuya,8490.0211710,107505.8548847,3276.0963088,119271.9723645
Bella Vista,Mercedes,8490.0211710,203704.7350954,4359.9544151,216554.7106816
Bella Vista,Monte Caseros,8490.0211710,295627.8426381,9357.5312068,313475.3950159
Bella Vista,Paso de los Libres,8490.0211710,295627.8426381,9357.5312068,313475.3950159
Bella Vista,Saladas,8490.0211710,67529.5916225,9751.5790731,85771.1918666
Bella Vista,San Cosme,8490.0211710,198499.6961978,5927.5364229,212917.2537917
Bella Vista,San Luis del Palmar,8490.0211710,173169.8612787,10274.9393743,191934.8218240
Bella Vista,La Cruz,8490.0211710,173169.8612787,10274.9393743,191934.8218240
Bella Vista,San Miguel,8490.0211710,194983.1385929,11536.2405531,215009.4003169
Bella Vista,San Roque,8490.0211710,46105.8232720,1050.3210138,55646.1654568
Bella Vista,Santo Tome,8490.0211710,46105.8232720,1050.3210138,55646.1654568
Bella Vista,Sauce,8490.0211710,241115.0480254,3541.5156726,253146.5848690
Beron de Astrada,Corrientes,6694.4310392,177627.4737669,3607.4880025,187929.3928085
Beron de Astrada,Bella Vista,6694.4310392,218765.1679361,8490.0211710,233949.6201463
Beron de Astrada,Beron de Astrada,6694.4310392,0.0000000,8490.0211710,233949.6201463
Beron de Astrada,Concepcion,6694.4310392,149319.8169009,9553.1054012,165567.3533413
Beron de Astrada,Curuzu Cuatia,6694.4310392,431680.0817307,13134.4821343,451508.9949041
Beron de Astrada,Empedrado,6694.4310392,177243.3234515,5189.5280649,189127.2825555
Beron de Astrada,Esquina,6694.4310392,520443.8340358,4122.7988759,531261.0639508
Beron de Astrada,Alvear,6694.4310392,520443.8340358,4122.7988759,531261.0639508
Beron de Astrada,Caa Cati,6694.4310392,37080.1309938,6265.1766681,50039.7387011
Beron de Astrada,Goya,6694.4310392,290864.9630301,1494.5167008,299053.9107701
Beron de Astrada,Itati,6694.4310392,192904.0243058,4826.3952866,204424.8506316
Beron de Astrada,Ituzaingo,6694.4310392,192904.0243058,4826.3952866,204424.8506316
Beron de Astrada,Lavalle,6694.4310392,273695.1325747,9643.6855100,290033.2491239
Beron de Astrada,Mburucuya,6694.4310392,111259.3130515,3276.0963088,121229.8403995
Beron de Astrada,Mercedes,6694.4310392,388943.9458745,4359.9544151,399998.3313288
Beron de Astrada,Monte Caseros,6694.4310392,480867.0534172,9357.5312068,496919.0156632
Beron de Astrada,Paso de los Libres,6694.4310392,480867.0534172,9357.5312068,496919.0156632
Beron de Astrada,Saladas,6694.4310392,151235.5763137,9751.5790731,167681.5864259
Beron de Astrada,San Cosme,6694.4310392,162745.5610295,5927.5364229,175367.5284916
Beron de Astrada,San Luis del Palmar,6694.4310392,130266.3089342,10274.9393743,147235.6793476
Beron de Astrada,La Cruz,6694.4310392,130266.3089342,10274.9393743,147235.6793476
Beron de Astrada,San Miguel,6694.4310392,50378.2326444,11536.2405531,68608.9042366
Beron de Astrada,San Roque,6694.4310392,231345.0340511,1050.3210138,239089.7861040
Beron de Astrada,Santo Tome,6694.4310392,231345.0340511,1050.3210138,239089.7861040
Beron de Astrada,Sauce,6694.4310392,426354.2588045,3541.5156726,436590.2055162
Concepcion,Corrientes,9553.1054012,136623.2136269,3607.4880025,149783.8070305
Concepcion,Bella Vista,9553.1054012,151971.4917278,8490.0211710,170014.6183000
Concepcion,Beron de Astrada,9553.1054012,149319.8169009,6694.4310392,165567.3533413
