origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Corrientes,Corrientes,,0.0000000,,
Corrientes,Bella Vista,73051.6273269,147421.1977833,93055.6682672,313528.4933774
Corrientes,Beron de Astrada,73051.6273269,331590.9513385,52954.4878530,457597.0665183
Corrientes,Concepcion,73051.6273269,146643.6758473,96068.0454887,315763.3486628
Corrientes,Curuzu Cuatia,73051.6273269,297265.5024696,30906.1577404,401223.2875369
Corrientes,Empedrado,73051.6273269,146643.6758473,43033.8597195,262729.1628937
Corrientes,Esquina,73051.6273269,423016.4788432,73525.3653756,569593.4715456
Corrientes,Alvear,73051.6273269,420558.1626955,54225.0886254,547834.8786478
Corrientes,Caa Cati,73051.6273269,331590.9513385,53874.0239636,458516.6026290
Corrientes,Goya,73051.6273269,147421.1977833,110438.4221223,330911.2472325
Corrientes,Itati,73051.6273269,112180.6738633,11574.0400685,196806.3412587
Corrientes,Ituzaingo,73051.6273269,460339.8011360,89019.6438611,622411.0723240
Corrientes,Lavalle,73051.6273269,147421.1977833,106240.8772861,326713.7023962
Corrientes,Mburucuya,73051.6273269,146643.6758473,70259.0236677,289954.3268419
Corrientes,Mercedes,73051.6273269,146643.6758473,120958.4717359,340653.7749100
Corrientes,Monte Caseros,73051.6273269,297265.5024696,95745.4085424,466062.5383389
Corrientes,Paso de los Libres,73051.6273269,420558.1626955,42843.1171416,536452.9071640
Corrientes,Saladas,73051.6273269,146643.6758473,25493.9973584,245189.3005325
Corrientes,San Cosme,73051.6273269,146643.6758473,25493.9973584,245189.3005325
Corrientes,San Luis del Palmar,73051.6273269,146643.6758473,98360.0311749,318055.3343491
Corrientes,La Cruz,73051.6273269,420558.1626955,42936.8868004,536546.6768227
Corrientes,San Miguel,73051.6273269,331590.9513385,54043.1459510,458685.7246163
Corrientes,San Roque,73051.6273269,146643.6758473,29716.4568725,249411.7600466
Corrientes,Santo Tome,73051.6273269,460339.8011360,105262.4973187,638653.9257816
Corrientes,Sauce,73051.6273269,297265.5024696,73063.9984597,443381.1282562
Bella Vista,Corrientes,93055.6682672,147421.1977833,73051.6273269,313528.4933774
Bella Vista,Bella Vista,93055.6682672,0.0000000,73051.6273269,313528.4933774
Bella Vista,Beron de Astrada,93055.6682672,294648.2967142,52954.4878530,440658.4528343
Bella Vista,Concepcion,93055.6682672,109701.0212230,96068.0454887,298824.7349788
Bella Vista,Curuzu Cuatia,93055.6682672,260322.8478452,30906.1577404,384284.6738529
Bella Vista,Empedrado,93055.6682672,109701.0212230,43033.8597195,245790.5492097
Bella Vista,Esquina,93055.6682672,275595.2810599,73525.3653756,442176.3147027
Bella Vista,Alvear,93055.6682672,383615.5080712,54225.0886254,530896.2649638
Bella Vista,Caa Cati,93055.6682672,294648.2967142,53874.0239636,441577.9889449
Bella Vista,Goya,93055.6682672,294648.2967142,53874.0239636,441577.9889449
Bella Vista,Itati,93055.6682672,234361.4922720,11574.0400685,338991.2006077
Bella Vista,Ituzaingo,93055.6682672,423397.1465116,89019.6438611,605472.4586400
Bella Vista,Lavalle,93055.6682672,423397.1465116,89019.6438611,605472.4586400
Bella Vista,Mburucuya,93055.6682672,109701.0212230,70259.0236677,273015.7131579
Bella Vista,Mercedes,93055.6682672,109701.0212230,120958.4717359,323715.1612260
Bella Vista,Monte Caseros,93055.6682672,260322.8478452,95745.4085424,449123.9246549
Bella Vista,Paso de los Libres,93055.6682672,383615.5080712,42843.1171416,519514.2934800
Bella Vista,Saladas,93055.6682672,109701.0212230,25493.9973584,228250.6868485
Bella Vista,San Cosme,93055.6682672,147421.1977833,97866.5581670,338343.4242174
Bella Vista,San Luis del Palmar,93055.6682672,109701.0212230,98360.0311749,301116.7206651
Bella Vista,La Cruz,93055.6682672,383615.5080712,42936.8868004,519608.0631387
Bella Vista,San Miguel,93055.6682672,294648.2967142,54043.1459510,441747.1109323
Bella Vista,San Roque,93055.6682672,109701.0212230,29716.4568725,232473.1463626
Bella Vista,Santo Tome,93055.6682672,423397.1465116,105262.4973187,621715.3120976
Bella Vista,Sauce,93055.6682672,260322.8478452,73063.9984597,426442.5145722
Beron de Astrada,Corrientes,52954.4878530,331590.9513385,73051.6273269,457597.0665183
Beron de Astrada,Bella Vista,52954.4878530,294648.2967142,93055.6682672,440658.4528343
Beron de Astrada,Beron de Astrada,52954.4878530,0.0000000,93055.6682672,440658.4528343
Beron de Astrada,Concepcion,52954.4878530,184947.2754912,96068.0454887,333969.8088328
Beron de Astrada,Curuzu Cuatia,52954.4878530,291691.6389550,30906.1577404,375552.2845484
Beron de Astrada,Empedrado,52954.4878530,184947.2754912,43033.8597195,280935.6230637
Beron de Astrada,Esquina,52954.4878530,453373.4908355,73525.3653756,579853.3440641
Beron de Astrada,Alvear,52954.4878530,168398.9787291,54225.0886254,275578.5552074
Beron de Astrada,Caa Cati,52954.4878530,168398.9787291,54225.0886254,275578.5552074
Beron de Astrada,Goya,52954.4878530,294648.2967142,110438.4221223,458041.2066894
Beron de Astrada,Itati,52954.4878530,309607.7465402,11574.0400685,374136.2744617
Beron de Astrada,Ituzaingo,52954.4878530,128748.8497975,89019.6438611,270722.9815116
Beron de Astrada,Lavalle,52954.4878530,294648.2967142,106240.8772861,453843.6618532
Beron de Astrada,Mburucuya,52954.4878530,184947.2754912,70259.0236677,308160.7870119
Beron de Astrada,Mercedes,52954.4878530,184947.2754912,120958.4717359,358860.2350801
Beron de Astrada,Monte Caseros,52954.4878530,291691.6389550,95745.4085424,440391.5353504
Beron de Astrada,Paso de los Libres,52954.4878530,168398.9787291,42843.1171416,264196.5837236
Beron de Astrada,Saladas,52954.4878530,184947.2754912,25493.9973584,263395.7607026
Beron de Astrada,San Cosme,52954.4878530,331590.9513385,97866.5581670,482411.9973584
